indices,values,size
8|17|1459|1497|1506|1515|2505|2511|2538|5881|6493|6535|6573|6574|6576|6623|6628|6934|6948|6975|6979|6981|6985,1.0|1.0|1.0|1.0|1.0|0.5895|1.0|1.0|1.0|1.0|3.073697826240075|0.9749899959983993|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0,6991
7|17|1459|1497|1503|1515|1588|2358|2505|2511|2523|2600|2604|5881|5926|6116|6493|6535|6573|6574|6576|6623|6628|6934|6948|6967|6971|6974|6981,1.0|1.0|1.0|1.0|1.0|3.7369|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|3.073697826240075|0.9749899959983993|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0,6991
8|17|1459|1497|1504|1515|6493|6535|6573|6574|6575|6576|6620|6621|6623|6628|6666|6713|6934|6952|6971|6973|6978|6981|6984,1.0|1.0|1.0|1.0|1.0|1.4485999999999999|3.073697826240075|0.9749899959983993|1.0|1.0|1.0|1.0|1.0|0.3010299956639812|1.0|1.0|1.0|1.0|1.0|1.0|3.0|1.0|1.0|1.0|1.0,6991
9|16|60|1458|1498|1507|2676|5866|5874|5881|6115|6492|6534|6573|6574|6575|6576|6620|6621|6623|6627|6666|6702|6932|6950|6968|6972|6980|6982|6989,1.0|1.0|0.285|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|3.8740815489325104|0.37870766224886826|1.0|1.0|1.0|1.0|0.8311999999999999|0.2627357796664865|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0,6991
7|17|345|356|835|1498|1505|1588|2538|2604|5931|6117|6535|6573|6576|6620|6621|6622|6623|6628|6932|6948|6967|6969|6970|6971|6972|6982,1.0|1.0|0.062|0.062|0.0468|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.1417396096196057|1.0|1.0|0.1708|0.06848271376175437|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|2.0|1.0|1.0,6991
10|22|1498|1505|1515|1525|2373|2505|2538|4153|4185|5995|6012|6117|6540|6573|6575|6576|6623|6633|6666|6772|6931|6949|6968|6971|6973|6982,1.0|1.0|1.0|1.0|0.8273|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.15336151252721994|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|2.0|1.0|1.0,6991
10|22|1498|1505|1515|1525|2373|2505|2538|4153|4185|5995|6012|6117|6540|6573|6575|6576|6623|6633|6666|6772|6931|6949|6968|6971|6976|6982,1.0|1.0|1.0|1.0|0.8273|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.15336151252721994|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|2.0|1.0|1.0,6991
9|50|1498|1504|1515|1565|2356|2373|3094|4153|4200|5881|5968|6118|6568|6573|6575|6576|6581|6620|6621|6622|6623|6661|6666|6927|6932|6950|6968|6969|6970|6971|6974|6982|6990,1.0|1.0|1.0|1.0|0.6044|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.06680283518729556|1.0|1.0|1.0|0.7999999999999999|1.0|0.3010299956639812|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|4.0|1.0|1.0|1.0,6991
10|25|1498|1502|1934|5863|6091|6123|6576|6581|6930|6948|6968|6971|6975|6982,1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.7999999999999999|1.0|1.0|1.0|1.0|1.0|1.0,6991
10|25|1498|1502|1934|5863|6091|6123|6576|6581|6930|6948|6968|6971|6974|6982,1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.7999999999999999|1.0|1.0|1.0|1.0|1.0|1.0,6991
8|16|55|1458|1498|1510|1515|2182|5866|5874|5942|6117|6136|6492|6534|6573|6574|6575|6576|6581|6620|6621|6623|6627|6666|6703|6935|6948|6969|6970|6971|6974|6980|6982|6989,1.0|1.0|0.8693|1.0|1.0|1.0|0.7101|1.0|1.0|1.0|1.0|1.0|1.0|2.8591983615338776|0.7379914276763202|1.0|1.0|1.0|1.0|0.7999999999999999|0.8693|0.27167900597442396|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|2.0|1.0|1.0|1.0|1.0,6991
8|16|55|1458|1498|1510|1515|2182|5866|5874|5942|6117|6136|6492|6534|6573|6574|6575|6576|6581|6620|6621|6623|6627|6666|6703|6935|6948|6969|6970|6971|6974|6980|6982|6989,1.0|1.0|0.8693|1.0|1.0|1.0|0.7101|1.0|1.0|1.0|1.0|1.0|1.0|2.8591983615338776|0.7379914276763202|1.0|1.0|1.0|1.0|0.7999999999999999|0.8693|0.27167900597442396|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|2.0|1.0|1.0|1.0|1.0,6991
8|50|1498|1501|1579|2356|2373|3094|6568|6573|6575|6576|6581|6620|6621|6623|6661|6666|6927|6932|6950|6970|6971|6972|6982,1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.06680283518729556|1.0|1.0|1.0|0.7999999999999999|0.5481|0.1897990106398265|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0,6991
11|16|55|1458|1498|1513|1515|2096|2587|4849|5866|5874|5932|6117|6118|6492|6534|6573|6574|6575|6576|6620|6621|6622|6623|6627|6666|6708|6936|6952|6968|6971|6976|6982,1.0|1.0|0.2315|1.0|1.0|1.0|0.5928|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|4.491138885649151|0.8841459963366037|1.0|1.0|1.0|1.0|0.2315|0.09043441617512203|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0,6991
8|19|63|1497|1507|1515|2254|2257|2538|2543|2641|3153|6092|6537|6573|6575|6576|6584|6620|6621|6622|6623|6630|6666|6750|6934|6950|6970|6971|6973|6978|6982|6987|6990,1.0|1.0|1.0|1.0|1.0|1.6181999999999999|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.938457303926316|1.0|1.0|1.0|3.0|1.146|0.33162971762993226|2.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|2.0|1.0|1.0|1.0|1.0|1.0,6991
7|19|1497|1503|1515|1997|2254|2257|2514|2538|2647|3100|5902|6084|6537|6573|6575|6576|6584|6623|6630|6666|6751|6934|6952|6967|6971|6973|6978|6982|6987,1.0|1.0|1.0|1.0|3.7870999999999997|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.938457303926316|1.0|1.0|1.0|3.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|2.0|1.0|1.0|1.0|1.0,6991
8|19|1497|1508|1515|2254|2257|2608|2966|6085|6537|6573|6575|6576|6584|6623|6630|6666|6751|6934|6952|6971|6975|6979|6982|6988,1.0|1.0|1.0|1.0|3.0899|1.0|1.0|1.0|1.0|1.0|0.938457303926316|1.0|1.0|1.0|3.0|1.0|1.0|1.0|1.0|1.0|1.0|2.0|1.0|1.0|1.0|1.0,6991
